Cümle: Ben elma yemeyi seviyorum. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Neden gelmemesi heyecan verici? | Gerçek: pozitif | Tahmin: negatif | Sebep: sondan bir önceki fiil olumsuz
Cümle: Bizimkiler de iyice heyecanlandı. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Sen çok mutlu görünüyorsun. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Evet, ben de geliyorum. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Anlatabilmek imkansız. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Bizimkiler de iyice sinirlendi. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Sen de amma mutlusun. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Evet, o pozisyon hakkıydı(!) | Gerçek: negatif | Tahmin: negatif | Sebep: ironi kuralı
Cümle: Bu elbise güzel değil. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: Tezgahta yeterince eşya yoktu. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Yedikleri incirleri beğenmediler. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: İzleyiciler tiyatroyu beğenmedi. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Bunun tadını sevmedim. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: Şeftali ekşi değildi. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: Sen bizimle gelmiyorsun. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: Dünkü oyun eğlenceli değildi. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: Evet, seni hiç sevmedim. | Gerçek: negatif | Tahmin: negatif | Sebep: hiç sıfatı negatif fiil var
Cümle: Armutlar hiç kırmızı değil. | Gerçek: negatif | Tahmin: negatif | Sebep: hiç sıfatı negatif fiil var
Cümle: Hiç hoş değil. | Gerçek: negatif | Tahmin: negatif | Sebep: hiç sıfatı negatif fiil var
Cümle: Birlikte vakit geçirmek hiç zevkli değil. | Gerçek: negatif | Tahmin: negatif | Sebep: hiç sıfatı negatif fiil var
Cümle: Öğretmen derse gelmedi. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: Bunu sana vermek istemiyorum. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Bizimle gelemezsin. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: Hayır, beğenmedim. | Gerçek: negatif | Tahmin: negatif | Sebep: negatif kalıp kuralı
Cümle: Hayır, maçı 12. sınıflar kazandı. | Gerçek: negatif | Tahmin: negatif | Sebep: negatif kalıp kuralı
Cümle: Tatlının tadını beğenmedim. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: Hayır, gelemezsin. | Gerçek: negatif | Tahmin: negatif | Sebep: negatif kalıp kuralı
Cümle: Bununla uğraşamam. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: Senin gelmeni istemiyorum. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: İlkokul gösterime işlerinden izin alamadıkları için ne annem ne de babam gelebildi. | Gerçek: negatif | Tahmin: negatif | Sebep: ne ne yapısı negatif
Cümle: Bizim sınıfta diğer okulda bulunan bütün sınıflara göre hiç kız öğrenci yok. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Bana sorarsan bu kitaptaki bütün problemleri öğretmenler dahi çözemez. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Bugün gördüğüm kadarıyla ve hava durumuna baktığım kadarıyla hiç güzel bir gün değil. | Gerçek: negatif | Tahmin: negatif | Sebep: hiç sıfatı negatif fiil var
Cümle: Dedem küçüklüğünden beri misafir olduğu evde fazla uyumayı hiç sevmez. | Gerçek: negatif | Tahmin: negatif | Sebep: hiç sıfatı negatif fiil var
Cümle: Bunca saat boyunca bütün işittiğin bu sözlerden sonra, uyu uyuyabilirsen! | Gerçek: negatif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bu sınav için gerçekten bir ay boyunca çok çalıştım ama bugün sınavda başarısız oldum. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Görünüşüne aldanıp pazardan satın aldığım ayvalar ne kadar da lezzetsiz. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Akşam gelecek olan misafirler için hazırladıkları bütün ikram edilecek yemekler tutsuz çıkmış. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Yarın benim yanıma, söylediğim yere çok daha erken bir saatte gelmemelisin. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Hiçbir şekilde benden habersiz kimse kapıdan bir adım atıp dışarı çıkamaz. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Nedense ben kitap okumayı çocukluğumdan beri oldum olası hiç sevmiyorum. | Gerçek: negatif | Tahmin: negatif | Sebep: hiç sıfatı negatif fiil var
Cümle: Bursa!daki yol çalışması yüzünden trafik tıkandığından dolayı vaktinde düğüne yetişemeyecekmiş. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Dolaba kalkıp baktığımda evde içilebilecek bir tane bile içecek yoktu. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Sen gel de kolaysa bu kadar fazla işin içinden çık bakalım! | Gerçek: negatif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Beş yıldızlı bir restorandan tatlı sipariş ettim fakat burdaki tatlıların hepsi şekersizmiş. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Bu tarz bir firmanın böyle güzel hikayeli oyun yapıp bu kadar çirkin grafikler yapması beni üzdü. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: İnsanların kendini üstün görmesinden, yalan söylemelerinden ve saçmasapan hareketlerinden nefret ediyorum. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Konuklarımız ne yaptığımız güzel yemekleri yedi ne el yapımı içeceklerimizden içti. | Gerçek: negatif | Tahmin: negatif | Sebep: ne ne yapısı negatif
Cümle: Sanki bu bütün bu yaşanılmış olan olayların hepsinin sorumlusu benim! | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Sokaklar bugün yapılacak 29 ekim için olan tören yüzünden oldukça kalabalıktı. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Kesinlikle dediğin bütün sözleri şuan tam anlamıyla gerçekleştirdin! | Gerçek: negatif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Sana dün yaptığı hareketlerin, söylediği bütün olayların, yaşadıklarının hepsi yalanmış. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Eğer yapmak istediğin şeyi iyice düşünmeyip güzel bir plana oturmazsan yapacağın işin sonu kötü sonuçlanır. | Gerçek: negatif | Tahmin: negatif | Sebep: sondan bir önceki fiil olumsuz
Cümle: Açgözlülük yapıp işinde olsun özel hayatında olsun parasını savurduğu için yoksul duruma düştü. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Bunca yaşadığım, gördüğüm, duyduğum şeylerden sonra onu sevmeyecek değilim. | Gerçek: pozitif | Tahmin: pozitif | Sebep: son iki fiil olumsuz
Cümle: Kendimdeki ve etrafımdaki olayları gün geçtikçe daha iyi anlamaya başlamıştım. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bütçeme uygun çok güzel yeni çıkmış bir cep telefonu arıyorum. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Doğum günün için aldığım sarı kapaklı kitapta çok yararlı bilgiler mevcutmuş. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Kafamda senin bana söylediğin ve tavsiye ettiğin benzer düşünceler yok değil. | Gerçek: pozitif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: İnsanlara ve çevrendeki arkadaşlarına neden böyle davrandığını anlamıyor değilim. | Gerçek: pozitif | Tahmin: pozitif | Sebep: son iki fiil olumsuz
Cümle: Bu yıl düzenlenen kitap fuarı her zamankinden daha çok renkliydi. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Annen bana gelip benim için tatlı yaptığını söyleyince gerçekten çok sevindim. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Hayatımdaki bütün insanlar arasında en değer verdiğim kişi annemdir. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bu okuduğum kitapta insan psikolojisine katkıda bulunacak birçok bilgi vardır. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Yenilenebilir enerji hakkında yaptığı resim jüriler ve insanlar tarafından çok beğenildi. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Öğretmenlerinin, çevrendeki kişilerin dediği gibi ve çok çalışırsan başarılı olursun. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Annem ve babam bu soğuk havada dondurma yememe izin veriyor. | Gerçek: pozitif | Tahmin: negatif | Sebep: sondan bir önceki fiil olumsuz
Cümle: Yeni severek aldığım kıyafetim tam üzerime istediğim gibi oturdu. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Mehmet, milletin söylediğinin aksine çok duyarlı ve sorumluluk sahibi bir öğrencidir. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Annemin yemeklerine kıyasla eşimin yaptığı birçok yemek anneminkinden daha lezzetli. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Gerekse iş yerinde gerekse özel hayatında sergilediği hareketlerden ötürü çok olumlu tepkiler aldı. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Üniversiteyi bitirmek için çok uğraşıp hazırladığı projesi göründüğüne göre kötü değil. | Gerçek: pozitif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Tarkan'ın bu yıl yurtdışındaki konserleri herkes tarafından büyük ses getirdi. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Kafasında kurduğu ve planladığı yatırımını yaptığı işlerinde hepsinin meyvesini topluyor şimdi. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Onca işinin gücünün arasında ailesini de bırakıp yanımıza gelerek bizi yüzüstü bırakmadın. | Gerçek: pozitif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Tonlarca profesyonel çalışan arasından en becerikli olan çalışan Ayşe çıktı. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Kim ne derse desin bu hayatta gördüğüm en temiz insan babamdır. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Dün okuldan eve dönerken metroda gördüğü güzel kıza aşık olduğunu söyledi. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Yüzyıllardır süren büyük toprak savaşları sonunda ateşkes antlaşmaları imzalanarak barışa erdi. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bugün gerçekten harika görünüyorsun. | Gerçek: pozitif | Tahmin: pozitif | Sebep: pozitif kalıp kuralı
Cümle: Az önce toplantıda öne sürdüğün fikir müthiş! | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Üzgünüm, maalesef hasta tedaviye cevap veriyor. | Gerçek: pozitif | Tahmin: negatif | Sebep: negatif kalıp kuralı
Cümle: Tebrik ederim, yeni işin hayırlı olsun. | Gerçek: pozitif | Tahmin: pozitif | Sebep: pozitif kalıp kuralı
Cümle: O her sabah sokak hayvanlarını besler, kendisi çok iyi kalpli birisidir. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bu sene marmaristeydik, tatil hepimize iyi geldi. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Hep beraber basketbol oynamayı çok seviyorum. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Yemekler enfes olmuş. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Yaptığın sürpriz beni çok mutlu etti. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Gözlerin çok güzel. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Melek gibi bir insandı. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Filmin başrolü karakteri çok iyi canlandırmış. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Çocuğunuz çok tatlıymış. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Üstündeki tişörtü beğendim. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bu güzel gün için teşekkür ederim. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Hoşgeldin neşe getirdin. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Saçların güzel olmuş. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Kedim dumanı bulunca mutluluktan ağladım. | Gerçek: pozitif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Kış mevsimini seviyorum. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Yaz mevsimi hoşuma gidiyor. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Pozisyonu iyi değerlendirdi ve golü buldu. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Teşekkür ederim çok işime yaradı. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Kıyafetin çok güzelmiş. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Ayakkabılarına bayıldım. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Güzel iş çıkardınız çocuklar. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Üzgünüm bu olması gerektiği gibi düzenli değil. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Bu adam tam bir trafik canavarı! | Gerçek: negatif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Ne kadar da cimri bir insanmışsın. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Hasta tedaviye cevap vermiyor. | Gerçek: negatif | Tahmin: pozitif | Sebep: fiil negatif ve negatif sıfat var
Cümle: Bunu düşünmedim mi sanki, kendini çok mu zeki zannediyorsun ? | Gerçek: negatif | Tahmin: negatif | Sebep: sondan bir önceki fiil olumsuz
Cümle: Gerçekten iğrenç bir hayat. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Tabi öyle düşünürler, adın çıkmış dokuza inmez sekize. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Davranış biçimi hiç hoş değildi. | Gerçek: negatif | Tahmin: negatif | Sebep: hiç sıfatı negatif fiil var
Cümle: Bu durumda bile problem çıkarıyorsun. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Bu oyunu çok kötü oynuyorsun. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Kötülük içine işlemiş. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Acilen yemeğini bitirmen gerek, geç kalman işleri daha beter hale sokabilir. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Basketbol oynamayı sevmiyorum. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Sözleri adeta zehir etkisi yaratmıştı. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Sorduğun sorular çok saçma. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Hayır onları istemiyorum. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: Maçta yaptığı çok çirkin bir hareketti. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Seni sürüm sürüm süründüreceğim. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: O adama güvenme, tam bir düzenbaz. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Cezalandırılmayı hakediyorsun. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Gördün mü iki yüzlüyü nasıl da bizi sattı? | Gerçek: negatif | Tahmin: negatif | Sebep: negatif kalıp kuralı
Cümle: Kıskançlığı onu yolun sonuna getirdi. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Öyle nefret doluydu ki gözünü kırpmadan onu öldürdü. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Bu yıl kış mevsimi çok sert geçti, soğuğu sevmiyorum. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Yaz mevsimi çok sıcak olduğundan hoşuma gitmiyor. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Bu sayfada paylaşılan oyun benim beklediğim kadar kötü çıkmadı. | Gerçek: pozitif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Okulun yeniden açılması umduğum kadar kötü olmadı. | Gerçek: pozitif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Bu maç geçen haftadaki maçtan sonra sandığımdan daha  iyi geçti. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bu otel odasının içi sandığımdan daha soğukmuş. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Hava sandığımdan daha güzeldi. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Kahvenin tadı, görüntüsü gibi güzeldi. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bu markanın klavyesi sandığımdan da daha iyi çıktı. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bilgisayarı güncellemek geçen ki sefere göre sandığımdan daha kısa sürdü. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bu parfüm daha önce denediğim halinden daha kötü kokuyor. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Soruları eskiden çözdüğüm gibi kolay bir şekilde çözemiyorum. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Şu uygulamadan bulduğum videoyu soluksuz bir şekilde izledim. | Gerçek: pozitif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Televizyonda izlediğim dizi umduğumdan daha da kötü çıktı. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Bilgisayarın içini temizlemek sandığımdan daha çabuk bitti. | Gerçek: pozitif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Bu film önceki serisinde olduğu gibi muhteşem bir başlangıç yaptı. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Taktığım kolye üstümde sandığımdan daha iyi  ve güzel durdu. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bugüne kadar gördüğüm en abartılmış oyuncu olma yolunda ilerliyorsun. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Oynadığımız oyunda benim yüzümden son anda maçı kaybettik. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Sabah uykumdan çok mutlu bir şekilde uyandım. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bu kötü ortamda seninle bu güzel sohbeti yapmak beni çok rahatlatıyor. | Gerçek: pozitif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Bu güzel havada başıma böyle bir şeyin gelmesi beni çok rahatsız ediyor. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Senin yaptıkların yüzünden sevdiğim işleri yapamamaktan nefret ediyorum. | Gerçek: negatif | Tahmin: negatif | Sebep: sondan bir önceki fiil olumsuz
Cümle: Seni burada bu şekilde görmek onu sandığından daha çok üzüyor. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Yarın gün benim için bugünden daha iyi olacak. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Onun bu anlamsız hareketleri beni sinirlendiriyor. | Gerçek: negatif | Tahmin: negatif | Sebep: sadece negatif sıfat var
Cümle: Bu saçma sapan ödevi yaparken gereksiz yere çok zorlandım. | Gerçek: negatif | Tahmin: negatif | Sebep: negatif fiil var
Cümle: Bu proje için bu sayfa düzeni pek içime sinmedi. | Gerçek: negatif | Tahmin: negatif | Sebep: tek fiil negatif
Cümle: Bu paragraflar daha önceki gördüğüm paragraflardan daha uzun olamazdı! | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Onun bu şartlar altında neler yapabileceğini tahmin bile etmek istemiyorum. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Bu ödevin önceki yaptığımız ödevden daha iyi olacağını düşünüyorum. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Bu programlama dilini  hiç sevmedim. | Gerçek: negatif | Tahmin: negatif | Sebep: hiç sıfatı negatif fiil var
Cümle: İstediği şeker markette olmadığı için bütün gün mızmızlanarak ağladı. | Gerçek: negatif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Bu kaldırım taşlarının bu kadar güzel olduğunu daha önce fark etmemiştim. | Gerçek: pozitif | Tahmin: negatif | Sebep: son fiil olumsuz önceki fiil olumlu
Cümle: Okula giderken defterimi kaybettiğim için bu dersin notlarını alamadım. | Gerçek: negatif | Tahmin: pozitif | Sebep: son iki fiil olumsuz
Cümle: Onu bunca aradan sonra böyle gördüğüm için çok sevindim. | Gerçek: pozitif | Tahmin: pozitif | Sebep: hiçbir negatif kural çalışmadı
Cümle: Geceleri iyi bir uyku uyuyamamaktan nefret ediyorum. | Gerçek: negatif | Tahmin: negatif | Sebep: sondan bir önceki fiil olumsuz
